# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162233920.00000000 101201672.00000000 256270720.00000000 95644.30468750  7878347.50000000 6222336.00000000 
0.00100    162196000.00000000 101175976.00000000 256206128.00000000 95611.38281250  7876002.00000000 6220418.50000000 
0.00200    162073424.00000000 101098112.00000000 256008400.00000000 95513.00781250  7868837.50000000 6214803.00000000 
0.00300    161866592.00000000 100969064.00000000 255680208.00000000 95349.04687500  7856930.50000000 6205436.50000000 
0.00400    161574944.00000000 100789032.00000000 255222176.00000000 95120.85156250  7840283.50000000 6192337.50000000 
0.00500    161197632.00000000 100557792.00000000 254632736.00000000 94828.00000000  7818978.00000000 6175593.00000000 
0.00600    160740944.00000000 100275656.00000000 253914752.00000000 94471.78125000  7792974.50000000 6155131.00000000 
0.00700    160201808.00000000 99943832.00000000 253071456.00000000 94052.27343750  7762436.50000000 6131101.00000000 
0.00800    159582432.00000000 99563264.00000000 252101424.00000000 93571.28125000  7727372.00000000 6103514.00000000 
0.00900    158887648.00000000 99134640.00000000 251008544.00000000 93030.57031250  7687855.50000000 6072396.00000000 
0.01000    158115968.00000000 98657104.00000000 249792544.00000000 92429.74218750  7643985.00000000 6037932.00000000 
0.01100    157269888.00000000 98132664.00000000 248460720.00000000 91771.14843750  7595914.50000000 6000067.00000000 
0.01200    156345008.00000000 97562864.00000000 247010256.00000000 91057.21875000  7543656.00000000 5958922.50000000 
0.01300    155348720.00000000 96948080.00000000 245445168.00000000 90288.80468750  7487377.00000000 5914614.00000000 
0.01400    154283632.00000000 96290232.00000000 243770016.00000000 89467.78125000  7427173.00000000 5867254.00000000 
0.01500    153150512.00000000 95588800.00000000 241987888.00000000 88595.57812500  7363161.00000000 5816873.50000000 
0.01600    151951120.00000000 94848152.00000000 240102496.00000000 87675.46875000  7295549.50000000 5763641.50000000 
0.01700    150685840.00000000 94067024.00000000 238113616.00000000 86708.65625000  7224428.00000000 5707664.50000000 
0.01800    149361792.00000000 93247712.00000000 236029680.00000000 85697.75000000  7149925.50000000 5649006.00000000 
0.01900    147976048.00000000 92392168.00000000 233852784.00000000 84644.56250000  7072231.50000000 5587821.50000000 
0.02000    146533984.00000000 91500800.00000000 231585472.00000000 83553.19531250  6991524.00000000 5524311.50000000 
0.02100    145038736.00000000 90576744.00000000 229234976.00000000 82424.03125000  6907959.50000000 5458489.00000000 
0.02200    143492192.00000000 89620056.00000000 226801200.00000000 81260.50781250  6821631.50000000 5390506.00000000 
0.02300    141897344.00000000 88633688.00000000 224292624.00000000 80065.50000000  6732821.50000000 5320606.00000000 
0.02400    140256320.00000000 87618664.00000000 221711648.00000000 78841.37500000  6641670.50000000 5248803.50000000 
0.02500    138573360.00000000 86576400.00000000 219063040.00000000 77589.51562500  6548319.00000000 5175288.50000000 
0.02600    136849904.00000000 85510296.00000000 216350160.00000000 76314.68750000  6453052.50000000 5100200.00000000 
0.02700    135089488.00000000 84420136.00000000 213582464.00000000 75018.71875000  6355875.50000000 5023697.00000000 
0.02800    133295656.00000000 83309200.00000000 210757536.00000000 73703.55468750  6257101.50000000 4945901.50000000 
0.02900    131470400.00000000 82179368.00000000 207884752.00000000 72371.89843750  6156891.50000000 4866956.00000000 
0.03000    129616752.00000000 81031432.00000000 204968272.00000000 71027.95312500  6055422.00000000 4787023.00000000 
0.03100    127738560.00000000 79867600.00000000 202011200.00000000 69672.43750000  5952932.50000000 4706193.50000000 
0.03200    125838952.00000000 78689992.00000000 199019328.00000000 68308.68750000  5849453.00000000 4624624.00000000 
0.03300    123920096.00000000 77500616.00000000 195997360.00000000 66939.52343750  5745276.50000000 4542556.00000000 
0.03400    121985160.00000000 76301080.00000000 192951792.00000000 65567.23437500  5640609.00000000 4459989.50000000 
0.03500    120036840.00000000 75093584.00000000 189883904.00000000 64193.91796875  5535489.50000000 4377190.50000000 
0.03600    118077760.00000000 73878120.00000000 186796384.00000000 62822.10156250  5430194.50000000 4294162.00000000 
0.03700    116112944.00000000 72659152.00000000 183699088.00000000 61453.77734375  5324829.50000000 4211118.00000000 
0.03800    114142416.00000000 71435344.00000000 180594416.00000000 60091.82812500  5219660.50000000 4128140.75000000 
