# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162238864.00000000 101201832.00000000 256272032.00000000 95727.13281250  7881798.50000000 6225008.00000000 
0.00100    162215232.00000000 101187136.00000000 256234336.00000000 95708.12500000  7880414.50000000 6223919.50000000 
0.00200    162144144.00000000 101143112.00000000 256121872.00000000 95651.76562500  7876379.00000000 6220761.00000000 
0.00300    162025408.00000000 101069344.00000000 255934352.00000000 95558.32031250  7869617.00000000 6215452.50000000 
0.00400    161859296.00000000 100966608.00000000 255671984.00000000 95427.47656250  7860123.00000000 6207999.00000000 
0.00500    161643616.00000000 100834040.00000000 255334480.00000000 95259.35156250  7847977.50000000 6198441.00000000 
0.00600    161381520.00000000 100672120.00000000 254922944.00000000 95054.39062500  7833132.00000000 6186800.50000000 
0.00700    161071296.00000000 100481960.00000000 254436960.00000000 94812.96875000  7815643.50000000 6173051.00000000 
0.00800    160714752.00000000 100262048.00000000 253877808.00000000 94534.46093750  7795487.50000000 6157231.00000000 
0.00900    160311152.00000000 100014112.00000000 253245984.00000000 94220.42968750  7772738.00000000 6139346.00000000 
0.01000    159861280.00000000 99738232.00000000 252542816.00000000 93870.53906250  7747369.00000000 6119430.00000000 
0.01100    159365904.00000000 99433136.00000000 251766480.00000000 93484.89843750  7719433.00000000 6097494.00000000 
0.01200    158826128.00000000 99101424.00000000 250918928.00000000 93064.99218750  7688970.50000000 6073579.50000000 
0.01300    158242144.00000000 98741256.00000000 250001616.00000000 92610.17968750  7655963.00000000 6047653.50000000 
0.01400    157615040.00000000 98354656.00000000 249013984.00000000 92121.46875000  7620470.50000000 6019766.50000000 
0.01500    156943328.00000000 97940296.00000000 247959440.00000000 91599.31250000  7582592.00000000 5989997.50000000 
0.01600    156226496.00000000 97499520.00000000 246836144.00000000 91044.42968750  7542241.50000000 5958315.00000000 
0.01700    155467552.00000000 97033016.00000000 245646112.00000000 90457.23437500  7499542.50000000 5924800.50000000 
0.01800    154667712.00000000 96540264.00000000 244390960.00000000 89838.89062500  7454553.50000000 5889412.50000000 
0.01900    153827680.00000000 96022440.00000000 243071696.00000000 89189.58593750  7407252.00000000 5852255.50000000 
0.02000    152946800.00000000 95479648.00000000 241688080.00000000 88509.84375000  7357743.50000000 5813333.50000000 
0.02100    152026368.00000000 94913128.00000000 240243920.00000000 87801.22656250  7306048.00000000 5772713.00000000 
0.02200    151067728.00000000 94322336.00000000 238738080.00000000 87063.48437500  7252200.50000000 5730442.50000000 
0.02300    150070304.00000000 93708152.00000000 237173376.00000000 86297.95312500  7196280.00000000 5686490.00000000 
0.02400    149036272.00000000 93071272.00000000 235550816.00000000 85505.82812500  7138352.50000000 5640957.00000000 
0.02500    147966544.00000000 92412424.00000000 233871632.00000000 84687.53906250  7078416.50000000 5593913.50000000 
0.02600    146861408.00000000 91731536.00000000 232136096.00000000 83843.78125000  7016617.50000000 5545314.00000000 
0.02700    145721984.00000000 91029968.00000000 230348208.00000000 82976.21875000  6952981.00000000 5495311.00000000 
0.02800    144549920.00000000 90307696.00000000 228507424.00000000 82084.42968750  6887518.00000000 5443871.00000000 
0.02900    143345616.00000000 89565240.00000000 226617952.00000000 81170.79687500  6820322.00000000 5391058.50000000 
0.03000    142110112.00000000 88804144.00000000 224678224.00000000 80235.44531250  6751481.00000000 5336942.50000000 
0.03100    140844880.00000000 88024304.00000000 222690496.00000000 79279.79687500  6681064.50000000 5281584.50000000 
0.03200    139550512.00000000 87226664.00000000 220658256.00000000 78304.32031250  6609114.50000000 5225009.00000000 
0.03300    138228016.00000000 86411416.00000000 218580896.00000000 77310.32031250  6535693.50000000 5167297.00000000 
0.03400    136878336.00000000 85579992.00000000 216463552.00000000 76298.60156250  6460859.50000000 5108468.50000000 
0.03500    135504496.00000000 84732072.00000000 214304480.00000000 75270.60937500  6384695.50000000 5048608.50000000 
0.03600    134105696.00000000 83869312.00000000 212106768.00000000 74227.03125000  6307259.50000000 4987750.50000000 
0.03700    132682616.00000000 82992192.00000000 209872640.00000000 73169.14062500  6228680.00000000 4925941.50000000 
0.03800    131238336.00000000 82100984.00000000 207603680.00000000 72097.60937500  6148974.50000000 4863240.50000000 
0.03900    129772416.00000000 81197120.00000000 205300912.00000000 71014.11718750  6068201.50000000 4799726.50000000 
0.04000    128286624.00000000 80280504.00000000 202966704.00000000 69919.29687500  5986458.50000000 4735442.50000000 
0.04100    126782720.00000000 79352112.00000000 200603536.00000000 68813.64843750  5903802.00000000 4670455.00000000 
0.04200    125260568.00000000 78413288.00000000 198213120.00000000 67698.93750000  5820326.50000000 4604794.00000000 
0.04300    123722616.00000000 77464408.00000000 195796352.00000000 66576.06250000  5736080.00000000 4538485.00000000 
