# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162236976.00000000 101201624.00000000 256271392.00000000 95048.42968750  7853773.50000000 6202886.00000000 
0.00100    162204048.00000000 101180192.00000000 256217792.00000000 95025.52343750  7852028.50000000 6201507.00000000 
0.00200    162103840.00000000 101116848.00000000 256056832.00000000 94956.68750000  7846696.00000000 6197311.50000000 
0.00300    161934624.00000000 101010648.00000000 255786960.00000000 94842.07031250  7837842.00000000 6190300.00000000 
0.00400    161694688.00000000 100861504.00000000 255410848.00000000 94682.79687500  7825393.50000000 6180541.50000000 
0.00500    161386512.00000000 100670944.00000000 254926624.00000000 94477.86718750  7809486.50000000 6167998.50000000 
0.00600    161011776.00000000 100438392.00000000 254334464.00000000 94227.86718750  7790049.00000000 6152638.50000000 
0.00700    160570240.00000000 100164056.00000000 253638688.00000000 93933.83593750  7767126.00000000 6134612.50000000 
0.00800    160060816.00000000 99849096.00000000 252839984.00000000 93595.91406250  7740881.00000000 6113865.00000000 
0.00900    159487104.00000000 99493104.00000000 251937712.00000000 93213.53125000  7711204.50000000 6090444.00000000 
0.01000    158849168.00000000 99097744.00000000 250932816.00000000 92788.94531250  7678131.50000000 6064425.00000000 
0.01100    158150016.00000000 98662840.00000000 249828384.00000000 92322.13281250  7641810.50000000 6035768.50000000 
0.01200    157387040.00000000 98188656.00000000 248623920.00000000 91813.84375000  7602255.50000000 6004579.00000000 
0.01300    156563248.00000000 97676400.00000000 247322464.00000000 91265.45312500  7559469.00000000 5970877.00000000 
0.01400    155674240.00000000 97125560.00000000 245927312.00000000 90676.35937500  7513615.00000000 5934747.00000000 
0.01500    154729632.00000000 96538200.00000000 244437168.00000000 90048.60937500  7464724.00000000 5896186.50000000 
0.01600    153726304.00000000 95915576.00000000 242856992.00000000 89383.22656250  7412841.00000000 5855259.00000000 
0.01700    152667984.00000000 95257648.00000000 241186800.00000000 88680.63281250  7358069.50000000 5812054.50000000 
0.01800    151553648.00000000 94566040.00000000 239429072.00000000 87942.24218750  7300458.50000000 5766657.50000000 
0.01900    150384640.00000000 93840408.00000000 237590272.00000000 87169.03125000  7240101.50000000 5719046.50000000 
0.02000    149165584.00000000 93082760.00000000 235666656.00000000 86362.21093750  7177124.50000000 5669398.50000000 
0.02100    147896080.00000000 92294040.00000000 233665600.00000000 85523.14843750  7111563.00000000 5617725.50000000 
0.02200    146576560.00000000 91475128.00000000 231587136.00000000 84653.33593750  7043566.00000000 5564097.50000000 
0.02300    145211664.00000000 90627032.00000000 229434176.00000000 83752.88281250  6973151.50000000 5508595.00000000 
