# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162233872.00000000 101202536.00000000 256270640.00000000 99488.72656250  8035145.50000000 6346125.00000000 
0.00100    162192048.00000000 101173736.00000000 256199760.00000000 99454.07812500  8032671.50000000 6344203.00000000 
0.00200    162064352.00000000 101090192.00000000 255990048.00000000 99352.57812500  8025227.00000000 6338324.00000000 
0.00300    161843488.00000000 100952392.00000000 255637920.00000000 99183.10156250  8012862.50000000 6328591.50000000 
0.00400    161529376.00000000 100758264.00000000 255146848.00000000 98946.88281250  7995549.00000000 6314940.50000000 
0.00500    161126112.00000000 100509592.00000000 254515408.00000000 98643.78906250  7973376.00000000 6297427.50000000 
0.00600    160638768.00000000 100207008.00000000 253747408.00000000 98274.99218750  7946366.50000000 6276187.50000000 
0.00700    160058896.00000000 99852008.00000000 252844416.00000000 97841.92968750  7914598.00000000 6251158.50000000 
0.00800    159399792.00000000 99443360.00000000 251806768.00000000 97344.94531250  7878110.50000000 6222444.50000000 
0.00900    158658352.00000000 98983872.00000000 250636960.00000000 96784.53125000  7837065.00000000 6190069.00000000 
0.01000    157836032.00000000 98473224.00000000 249337520.00000000 96164.17187500  7791485.00000000 6154166.50000000 
0.01100    156931584.00000000 97911568.00000000 247913088.00000000 95483.99218750  7741501.00000000 6114834.50000000 
0.01200    155946304.00000000 97301136.00000000 246362880.00000000 94745.62500000  7687265.00000000 6072046.50000000 
0.01300    154886144.00000000 96642768.00000000 244691744.00000000 93951.43750000  7628822.00000000 6026044.50000000 
0.01400    153749936.00000000 95938944.00000000 242904992.00000000 93104.33593750  7566281.00000000 5976756.00000000 
0.01500    152543792.00000000 95191200.00000000 241003904.00000000 92203.26562500  7499916.50000000 5924454.50000000 
0.01600    151266048.00000000 94399032.00000000 238993856.00000000 91253.75781250  7429756.00000000 5869186.00000000 
0.01700    149922448.00000000 93565800.00000000 236875968.00000000 90255.66406250  7356004.00000000 5811029.50000000 
0.01800    148514640.00000000 92692176.00000000 234657776.00000000 89212.42968750  7278815.00000000 5750218.50000000 
0.01900    147043904.00000000 91779792.00000000 232340672.00000000 88127.50000000  7198333.00000000 5686799.00000000 
0.02000    145513824.00000000 90831152.00000000 229932528.00000000 87000.85156250  7114740.50000000 5620922.00000000 
0.02100    143929552.00000000 89847008.00000000 227435280.00000000 85837.38281250  7028257.00000000 5552756.50000000 
0.02200    142291664.00000000 88830552.00000000 224853392.00000000 84638.04687500  6938994.00000000 5482409.50000000 
0.02300    140603184.00000000 87783640.00000000 222193696.00000000 83406.81250000  6847244.50000000 5410006.00000000 
0.02400    138870048.00000000 86706784.00000000 219461808.00000000 82146.14843750  6753022.00000000 5335757.50000000 
0.02500    137091536.00000000 85602640.00000000 216659552.00000000 80857.68750000  6656600.50000000 5259788.00000000 
0.02600    135273472.00000000 84472928.00000000 213794000.00000000 79545.88281250  6558277.50000000 5182225.00000000 
0.02700    133418656.00000000 83321208.00000000 210870208.00000000 78212.92968750  6458121.00000000 5103241.50000000 
0.02800    131530128.00000000 82147944.00000000 207892448.00000000 76859.85156250  6356306.00000000 5022931.50000000 
0.02900    129611536.00000000 80956152.00000000 204869344.00000000 75491.71093750  6253058.00000000 4941533.50000000 
0.03000    127665944.00000000 79746216.00000000 201801040.00000000 74109.50000000  6148604.50000000 4859150.00000000 
0.03100    125696896.00000000 78522104.00000000 198694224.00000000 72717.78906250  6043198.50000000 4775986.00000000 
0.03200    123706688.00000000 77285928.00000000 195557216.00000000 71317.32812500  5936800.50000000 4692110.00000000 
0.03300    121700544.00000000 76039056.00000000 192393168.00000000 69911.53906250  5829929.50000000 4607699.00000000 
0.03400    119679088.00000000 74782176.00000000 189206320.00000000 68502.95312500  5722407.50000000 4522908.00000000 
0.03500    117648832.00000000 73518872.00000000 186001712.00000000 67093.53906250  5614619.50000000 4437890.50000000 
