# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162236912.00000000 101201952.00000000 256270912.00000000 95049.14062500  7853802.50000000 6202947.00000000 
0.00100    162198240.00000000 101176728.00000000 256206832.00000000 95021.71093750  7851714.50000000 6201278.50000000 
0.00200    162079456.00000000 101100928.00000000 256016560.00000000 94940.01562500  7845414.50000000 6196284.00000000 
0.00300    161878256.00000000 100975056.00000000 255697936.00000000 94804.53906250  7834896.50000000 6187992.00000000 
0.00400    161594608.00000000 100799264.00000000 255252976.00000000 94614.67968750  7820204.50000000 6176407.00000000 
0.00500    161231136.00000000 100573680.00000000 254679920.00000000 94370.79687500  7801355.00000000 6161542.50000000 
0.00600    160788768.00000000 100298168.00000000 253981216.00000000 94074.31250000  7778427.50000000 6143456.50000000 
0.00700    160267216.00000000 99975280.00000000 253159840.00000000 93725.88281250  7751376.00000000 6122149.50000000 
0.00800    159665600.00000000 99602016.00000000 252216016.00000000 93325.29687500  7720335.00000000 6097672.00000000 
0.00900    158990512.00000000 99183184.00000000 251153616.00000000 92872.87500000  7685333.00000000 6070026.50000000 
0.01000    158240960.00000000 98716760.00000000 249970256.00000000 92371.16406250  7646419.00000000 6039399.50000000 
0.01100    157417792.00000000 98204888.00000000 248667824.00000000 91820.28125000  7603671.00000000 6005660.50000000 
0.01200    156520784.00000000 97646616.00000000 247253632.00000000 91220.58593750  7557182.00000000 5968991.00000000 
0.01300    155550816.00000000 97044544.00000000 245725952.00000000 90574.17968750  7507030.50000000 5929445.00000000 
0.01400    154513040.00000000 96398568.00000000 244089040.00000000 89881.80468750  7453294.00000000 5887047.50000000 
0.01500    153406800.00000000 95710816.00000000 242344528.00000000 89144.93750000  7396032.00000000 5841893.50000000 
0.01600    152236192.00000000 94983040.00000000 240496544.00000000 88364.61718750  7335422.00000000 5794088.50000000 
0.01700    151000048.00000000 94214464.00000000 238548448.00000000 87543.40625000  7271536.50000000 5743742.00000000 
0.01800    149702512.00000000 93407656.00000000 236502704.00000000 86681.95312500  7204497.00000000 5690832.50000000 
0.01900    148344928.00000000 92563664.00000000 234362048.00000000 85781.65625000  7134394.50000000 5635558.50000000 
0.02000    146931168.00000000 91684136.00000000 232132256.00000000 84844.35156250  7061380.50000000 5577981.50000000 
0.02100    145460752.00000000 90770872.00000000 229813888.00000000 83871.96093750  6985602.00000000 5518217.00000000 
0.02200    143938816.00000000 89823496.00000000 227412016.00000000 82865.69531250  6907098.50000000 5456283.50000000 
0.02300    142367040.00000000 88846096.00000000 224933280.00000000 81828.26562500  6826137.00000000 5392422.50000000 
0.02400    140746240.00000000 87838304.00000000 222377008.00000000 80760.75000000  6742680.50000000 5326631.50000000 
0.02500    139080912.00000000 86802720.00000000 219751680.00000000 79664.87500000  6657065.50000000 5259100.50000000 
0.02600    137373584.00000000 85741488.00000000 217057872.00000000 78544.20312500  6569319.00000000 5189891.00000000 
0.02700    135625488.00000000 84654640.00000000 214301792.00000000 77398.08593750  6479609.00000000 5119112.50000000 
0.02800    133841872.00000000 83545088.00000000 211487520.00000000 76229.89843750  6388035.50000000 5046883.00000000 
0.02900    132023424.00000000 82413624.00000000 208619456.00000000 75041.68750000  6294814.50000000 4973355.50000000 
0.03000    130173800.00000000 81262816.00000000 205700336.00000000 73834.14062500  6200066.00000000 4898586.50000000 
0.03100    128294392.00000000 80094224.00000000 202736992.00000000 72611.49218750  6103889.50000000 4822727.00000000 
0.03200    126388952.00000000 78909640.00000000 199731840.00000000 71373.50781250  6006506.00000000 4745940.50000000 
0.03300    124461280.00000000 77710488.00000000 196690832.00000000 70123.20312500  5908038.50000000 4668239.50000000 
0.03400    122512544.00000000 76497536.00000000 193617680.00000000 68862.64843750  5808602.00000000 4589785.00000000 
0.03500    120547608.00000000 75274568.00000000 190516416.00000000 67592.82812500  5708378.50000000 4510741.00000000 
0.03600    118565936.00000000 74042704.00000000 187391584.00000000 66316.23437500  5607520.50000000 4431154.50000000 
0.03700    116573280.00000000 72803048.00000000 184248592.00000000 65034.71875000  5506137.00000000 4351155.50000000 
0.03800    114571224.00000000 71557952.00000000 181090880.00000000 63750.16406250  5404415.00000000 4270902.00000000 
0.03900    112562488.00000000 70308656.00000000 177922400.00000000 62464.03125000  5302447.50000000 4190454.25000000 
0.04000    110549760.00000000 69056560.00000000 174744704.00000000 61178.18359375  5200385.00000000 4109932.75000000 
0.04100    108535032.00000000 67802720.00000000 171568368.00000000 59894.89062500  5098342.50000000 4029432.25000000 
0.04200    106522192.00000000 66550084.00000000 168391232.00000000 58614.68750000  4996523.00000000 3949074.75000000 
0.04300    104512608.00000000 65299244.00000000 165221072.00000000 57340.13281250  4894942.50000000 3868927.25000000 
0.04400    102508240.00000000 64052700.00000000 162059248.00000000 56072.43750000  4793807.00000000 3789126.50000000 
0.04500    100513184.00000000 62810992.00000000 158911408.00000000 54813.12500000  4693165.00000000 3709744.00000000 
0.04600    98528088.00000000 61575904.00000000 155780672.00000000 53563.05859375  4593230.00000000 3630869.25000000 
0.04700    96556080.00000000 60348924.00000000 152670080.00000000 52324.72656250  4494032.50000000 3552593.75000000 
0.04800    94599600.00000000 59131096.00000000 149581520.00000000 51098.49218750  4395714.50000000 3475008.75000000 
0.04900    92659048.00000000 57923788.00000000 146519984.00000000 49886.19140625  4298334.50000000 3398171.00000000 
0.05000    90737976.00000000 56728484.00000000 143489520.00000000 48688.46093750  4202050.00000000 3322175.25000000 
0.05100    88837840.00000000 55546068.00000000 140491328.00000000 47506.65625000  4106893.25000000 3247086.00000000 
0.05200    86960352.00000000 54377580.00000000 137527680.00000000 46341.56250000  4013000.50000000 3172983.50000000 
0.05300    85106080.00000000 53224160.00000000 134603152.00000000 45194.52734375  3920388.25000000 3099902.50000000 
0.05400    83278416.00000000 52086984.00000000 131720592.00000000 44066.57421875  3829195.00000000 3027932.75000000 
0.05500    81477688.00000000 50966500.00000000 128880656.00000000 42957.99609375  3739452.75000000 2957126.00000000 
0.05600    79706176.00000000 49864296.00000000 126085808.00000000 41869.52343750  3651242.75000000 2887512.25000000 
0.05700    77964512.00000000 48780896.00000000 123337992.00000000 40802.04296875  3564616.00000000 2819149.00000000 
0.05800    76253960.00000000 47716492.00000000 120639408.00000000 39756.11718750  3479638.50000000 2752077.75000000 
0.05900    74575712.00000000 46672584.00000000 117992296.00000000 38732.13671875  3396347.50000000 2686354.50000000 
0.06000    72930728.00000000 45649280.00000000 115396976.00000000 37730.69140625  3314754.75000000 2621972.25000000 
0.06100    71319984.00000000 44647740.00000000 112856488.00000000 36752.02734375  3234962.00000000 2558980.00000000 
0.06200    69744736.00000000 43667748.00000000 110371024.00000000 35796.60546875  3156929.50000000 2497427.00000000 
0.06300    68204208.00000000 42710036.00000000 107942328.00000000 34864.29296875  3080746.25000000 2437292.50000000 
0.06400    66701196.00000000 41774840.00000000 105570248.00000000 33955.29296875  3006400.50000000 2378638.00000000 
0.06500    65233748.00000000 40862692.00000000 103257240.00000000 33070.46484375  2933911.25000000 2321430.00000000 
0.06600    63804220.00000000 39973616.00000000 101002408.00000000 32209.01562500  2863307.50000000 2265726.00000000 
0.06700    62411684.00000000 39108408.00000000 98807104.00000000 31371.31445312  2794554.75000000 2211467.50000000 
0.06800    61057076.00000000 38266304.00000000 96670912.00000000 30557.01562500  2727703.00000000 2158726.25000000 
0.06900    59740096.00000000 37448072.00000000 94594728.00000000 29766.31640625  2662728.00000000 2107457.75000000 
0.07000    58461352.00000000 36653516.00000000 92577936.00000000 28998.90039062  2599603.75000000 2057649.37500000 
0.07100    57220084.00000000 35882264.00000000 90621488.00000000 28254.07617188  2538338.50000000 2009348.87500000 
0.07200    56016200.00000000 35134712.00000000 88724000.00000000 27532.33007812  2478901.50000000 1962450.12500000 
0.07300    54850048.00000000 34410688.00000000 86885648.00000000 26832.95117188  2421331.50000000 1917019.75000000 
0.07400    53720540.00000000 33709744.00000000 85106512.00000000 26155.38671875  2365515.25000000 1873010.87500000 
0.07500    52628268.00000000 33031508.00000000 83385136.00000000 25499.71289062  2311493.00000000 1830395.25000000 
0.07600    51571852.00000000 32376344.00000000 81721320.00000000 24864.72851562  2259199.25000000 1789161.25000000 
0.07700    50551232.00000000 31743626.00000000 80113936.00000000 24250.83203125  2208636.50000000 1749282.75000000 
0.07800    49566128.00000000 31132782.00000000 78562088.00000000 23657.25390625  2159729.00000000 1710733.75000000 
0.07900    48615336.00000000 30543718.00000000 77065520.00000000 23083.04882812  2112492.00000000 1673472.12500000 
0.08000    47698528.00000000 29975996.00000000 75622152.00000000 22528.02343750  2066806.00000000 1637475.62500000 
0.08100    46815252.00000000 29429064.00000000 74232144.00000000 21991.58203125  2022715.62500000 1602717.75000000 
0.08200    45964084.00000000 28902218.00000000 72892472.00000000 21473.09375000  1980128.25000000 1569155.50000000 
0.08300    45144628.00000000 28395460.00000000 71603528.00000000 20972.01367188  1938990.25000000 1536732.87500000 
0.08400    44355404.00000000 27907800.00000000 70363392.00000000 20487.46679688  1899279.12500000 1505444.25000000 
