# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    162237728.00000000 101201848.00000000 256271792.00000000 98442.68750000  7992797.00000000 6312685.50000000 
0.00100    162212384.00000000 101185216.00000000 256229968.00000000 98422.01562500  7991333.00000000 6311536.50000000 
0.00200    162132896.00000000 101135944.00000000 256103936.00000000 98361.74218750  7986877.00000000 6308019.50000000 
0.00300    162000240.00000000 101053984.00000000 255894704.00000000 98260.83593750  7979439.50000000 6302236.50000000 
0.00400    161813888.00000000 100938664.00000000 255601952.00000000 98119.89843750  7969102.50000000 6294087.50000000 
0.00500    161573296.00000000 100791504.00000000 255226064.00000000 97938.66406250  7955821.50000000 6283636.50000000 
0.00600    161279472.00000000 100611880.00000000 254766704.00000000 97717.53125000  7939589.00000000 6270897.50000000 
0.00700    160934192.00000000 100399296.00000000 254224448.00000000 97457.01562500  7920414.00000000 6255900.00000000 
0.00800    160537088.00000000 100154160.00000000 253600640.00000000 97157.20312500  7898412.50000000 6238597.50000000 
0.00900    160087680.00000000 99878144.00000000 252897168.00000000 96818.68750000  7873537.50000000 6219088.50000000 
0.01000    159584400.00000000 99570480.00000000 252112496.00000000 96441.64062500  7845813.00000000 6197336.00000000 
0.01100    159033376.00000000 99231936.00000000 251247232.00000000 96026.25781250  7815289.50000000 6173375.00000000 
0.01200    158431824.00000000 98862648.00000000 250304000.00000000 95573.99218750  7781979.50000000 6147247.50000000 
0.01300    157781040.00000000 98462192.00000000 249284192.00000000 95084.22656250  7745944.50000000 6118954.00000000 
0.01400    157082288.00000000 98031840.00000000 248185200.00000000 94557.96875000  7707228.50000000 6088575.50000000 
0.01500    156334320.00000000 97571872.00000000 247011472.00000000 93996.39843750  7665845.00000000 6056099.00000000 
0.01600    155537776.00000000 97082496.00000000 245763552.00000000 93399.25000000  7621848.50000000 6021584.50000000 
0.01700    154695104.00000000 96563696.00000000 244441888.00000000 92767.71875000  7575340.00000000 5985045.50000000 
0.01800    153806016.00000000 96017920.00000000 243048464.00000000 92102.60937500  7526285.50000000 5946526.50000000 
0.01900    152872928.00000000 95443792.00000000 241584560.00000000 91404.66406250  7474799.00000000 5906097.50000000 
0.02000    151895312.00000000 94842624.00000000 240051344.00000000 90674.44531250  7420883.50000000 5863780.00000000 
0.02100    150875568.00000000 94215136.00000000 238450912.00000000 89913.51562500  7364647.00000000 5819615.50000000 
0.02200    149812720.00000000 93561584.00000000 236783936.00000000 89121.06250000  7306097.50000000 5773669.50000000 
0.02300    148709264.00000000 92882920.00000000 235053568.00000000 88300.04687500  7245394.00000000 5725961.00000000 
0.02400    147566128.00000000 92179264.00000000 233260320.00000000 87450.14843750  7182440.00000000 5676580.00000000 
0.02500    146383760.00000000 91451776.00000000 231405344.00000000 86572.59375000  7117465.00000000 5625551.50000000 
0.02600    145163712.00000000 90701272.00000000 229491200.00000000 85668.20312500  7050465.50000000 5572932.50000000 
0.02700    143907376.00000000 89928848.00000000 227520784.00000000 84738.98437500  6981505.00000000 5518782.50000000 
0.02800    142616784.00000000 89133784.00000000 225494208.00000000 83784.76562500  6910663.00000000 5463135.50000000 
0.02900    141291024.00000000 88318664.00000000 223414176.00000000 82807.46093750  6838023.00000000 5406092.00000000 
0.03000    139932688.00000000 87482512.00000000 221282112.00000000 81807.31250000  6763635.50000000 5347650.00000000 
0.03100    138542864.00000000 86626728.00000000 219101536.00000000 80785.58593750  6687596.50000000 5287940.50000000 
0.03200    137123280.00000000 85752576.00000000 216874160.00000000 79744.33593750  6609980.00000000 5226948.50000000 
0.03300    135674672.00000000 84860648.00000000 214600096.00000000 78683.46875000  6530879.00000000 5164793.50000000 
0.03400    134198696.00000000 83951392.00000000 212283936.00000000 77604.76562500  6450337.00000000 5101537.50000000 
0.03500    132696744.00000000 83025744.00000000 209925360.00000000 76509.14062500  6368469.50000000 5037188.50000000 
